"Mod name","Registry name","Item ID","Display name","Exists"
"Blood Magic","bloodmagic:dungeon_pillar_special","bloodmagic:dungeon_pillar_special","Accented Demon Stone Pillar","true"
"Blood Magic","bloodmagic:dungeon_polished","bloodmagic:dungeon_polished","Polished Demon Stone","true"
"Blood Magic","bloodmagic:dungeon_polished_gate","bloodmagic:dungeon_polished_gate","Demon Stone Gate","true"
"Blood Magic","bloodmagic:dungeon_polished_stairs","bloodmagic:dungeon_polished_stairs","Demon Stone Stairs","true"
"Blood Magic","bloodmagic:dungeon_polished_wall","bloodmagic:dungeon_polished_wall","Demon Stone Wall","true"
"Blood Magic","bloodmagic:dungeon_smallbrick","bloodmagic:dungeon_smallbrick","Small Demon Bricks","true"
"Blood Magic","bloodmagic:dungeon_stone","bloodmagic:dungeon_stone","Demon Stone","true"
"Blood Magic","bloodmagic:dungeon_tile","bloodmagic:dungeon_tile","Demon Stone Tiles","true"
"Blood Magic","bloodmagic:dungeon_tilespecial","bloodmagic:dungeon_tilespecial","Accented Demon Stone Tiles","true"
"Blood Magic","bloodmagic:duskritualstone","bloodmagic:duskritualstone","Dusk Ritual Stone","true"
"Blood Magic","bloodmagic:earthritualstone","bloodmagic:earthritualstone","Earth Ritual Stone","true"
"Blood Magic","bloodmagic:ethereal_mimic","bloodmagic:ethereal_mimic","block.bloodmagic.ethereal_mimic","true"
"Blood Magic","bloodmagic:fireritualstone","bloodmagic:fireritualstone","Fire Ritual Stone","true"
"Blood Magic","bloodmagic:fungal_charge","bloodmagic:fungal_charge","Fungal Charge","true"
"Blood Magic","bloodmagic:incensealtar","bloodmagic:incensealtar","Incense Altar","true"
"Blood Magic","bloodmagic:largebloodstonebrick","bloodmagic:largebloodstonebrick","Large Bloodstone Brick","true"
"Blood Magic","bloodmagic:life_essence_block","","block.bloodmagic.life_essence_block","true"
"Blood Magic","bloodmagic:lightritualstone","bloodmagic:lightritualstone","Dawn Ritual Stone","true"
"Blood Magic","bloodmagic:masterritualstone","bloodmagic:masterritualstone","Master Ritual Stone","true"
"Blood Magic","bloodmagic:mimic","bloodmagic:mimic","block.bloodmagic.mimic","true"
"Blood Magic","bloodmagic:nether_soil","bloodmagic:nether_soil","block.bloodmagic.nether_soil","true"
"Blood Magic","bloodmagic:obsidianbrickpath","bloodmagic:obsidianbrickpath","Obsidian Path","true"
"Blood Magic","bloodmagic:obsidiantilepath","bloodmagic:obsidiantilepath","Tiled Obsidian Path","true"
"Blood Magic","bloodmagic:orbcapacityrune","bloodmagic:orbcapacityrune","Rune of the Orb","true"
"Blood Magic","bloodmagic:rawdemoncrystal","bloodmagic:rawdemoncrystal","Raw Crystal Cluster","true"
"Blood Magic","bloodmagic:ritualstone","bloodmagic:ritualstone","Ritual Stone","true"
"Blood Magic","bloodmagic:sacrificerune","bloodmagic:sacrificerune","Rune of Sacrifice","true"
"Blood Magic","bloodmagic:selfsacrificerune","bloodmagic:selfsacrificerune","Rune of Self Sacrifice","true"
"Blood Magic","bloodmagic:shaped_charge","bloodmagic:shaped_charge","Shaped Charge","true"
"Blood Magic","bloodmagic:soulforge","bloodmagic:soulforge","Hellfire Forge","true"
"Blood Magic","bloodmagic:speedrune","bloodmagic:speedrune","Speed Rune","true"
"Blood Magic","bloodmagic:steadfastdemoncrystal","bloodmagic:steadfastdemoncrystal","Steadfast Crystal Cluster","true"
"Blood Magic","bloodmagic:stonebrickpath","bloodmagic:stonebrickpath","Stone Path","true"
"Blood Magic","bloodmagic:stonetilepath","bloodmagic:stonetilepath","Tiled Stone Path","true"
"Blood Magic","bloodmagic:veinmine_charge","bloodmagic:veinmine_charge","Controlled Charge","true"
"Blood Magic","bloodmagic:vengefuldemoncrystal","bloodmagic:vengefuldemoncrystal","Vengeful Crystal Cluster","true"
"Blood Magic","bloodmagic:waterritualstone","bloodmagic:waterritualstone","Water Ritual Stone","true"
"Blood Magic","bloodmagic:woodbrickpath","bloodmagic:woodbrickpath","Wooden Path","true"
"Blood Magic","bloodmagic:woodtilepath","bloodmagic:woodtilepath","Tiled Wooden Path","true"
"Blood Magic","bloodmagic:wornstonebrickpath","bloodmagic:wornstonebrickpath","Worn Stone Path","true"
"Blood Magic","bloodmagic:wornstonetilepath","bloodmagic:wornstonetilepath","Tiled Worn Stone Path","true"
"Botania","botania:abstruse_platform","botania:abstruse_platform","Abstruse Platform","true"
"Botania","botania:agricarnation","botania:agricarnation","Agricarnation","true"
"Botania","botania:agricarnation_chibi","botania:agricarnation_chibi","Agricarnation Petite","true"
"Botania","botania:alchemy_catalyst","botania:alchemy_catalyst","Alchemy Catalyst","true"
"Botania","botania:alfheim_portal","botania:alfheim_portal","Elven Gateway Core","true"
"Botania","botania:animated_torch","botania:animated_torch","Animated Torch","true"
"Botania","botania:apothecary_default","botania:apothecary_default","Petal Apothecary","true"
"Botania","botania:apothecary_desert","botania:apothecary_desert","Desert Petal Apothecary","true"
"Botania","botania:apothecary_forest","botania:apothecary_forest","Forest Petal Apothecary","true"
"Botania","botania:apothecary_fungal","botania:apothecary_fungal","Fungal Petal Apothecary","true"
"Botania","botania:apothecary_mesa","botania:apothecary_mesa","Mesa Petal Apothecary","true"
"Botania","botania:apothecary_mossy","botania:apothecary_mossy","Mossy Apothecary","true"
"Botania","botania:apothecary_mountain","botania:apothecary_mountain","Mountain Petal Apothecary","true"
"Botania","botania:apothecary_plains","botania:apothecary_plains","Plains Petal Apothecary","true"
"Botania","botania:apothecary_swamp","botania:apothecary_swamp","Swamp Petal Apothecary","true"
"Botania","botania:apothecary_taiga","botania:apothecary_taiga","Taiga Petal Apothecary","true"
"Botania","botania:avatar","botania:avatar","Livingwood Avatar","true"
"Botania","botania:azulejo_0","botania:azulejo_0","Azulejo","true"
"Botania","botania:azulejo_1","botania:azulejo_1","Azulejo","true"
"Botania","botania:azulejo_10","botania:azulejo_10","Azulejo","true"
"Botania","botania:azulejo_11","botania:azulejo_11","Azulejo","true"
"Botania","botania:azulejo_12","botania:azulejo_12","Azulejo","true"
"Botania","botania:azulejo_13","botania:azulejo_13","Azulejo","true"
"Botania","botania:azulejo_14","botania:azulejo_14","Azulejo","true"
"Botania","botania:azulejo_15","botania:azulejo_15","Azulejo","true"
"Botania","botania:azulejo_2","botania:azulejo_2","Azulejo","true"
"Botania","botania:azulejo_3","botania:azulejo_3","Azulejo","true"
"Botania","botania:azulejo_4","botania:azulejo_4","Azulejo","true"
"Botania","botania:azulejo_5","botania:azulejo_5","Azulejo","true"
"Botania","botania:azulejo_6","botania:azulejo_6","Azulejo","true"
"Botania","botania:azulejo_7","botania:azulejo_7","Azulejo","true"
"Botania","botania:azulejo_8","botania:azulejo_8","Azulejo","true"
"Botania","botania:azulejo_9","botania:azulejo_9","Azulejo","true"
"Botania","botania:bellethorn","botania:bellethorn","Bellethorne","true"
"Botania","botania:bellethorn_chibi","botania:bellethorn_chibi","Bellethorne Petite","true"
"Botania","botania:bellows","botania:bellows","Manatide Bellows","true"
"Botania","botania:bergamute","botania:bergamute","Bergamute","true"
"Botania","botania:bifrost","","Temporary Bifrost Block","true"
"Botania","botania:bifrost_pane","botania:bifrost_pane","Bifrost Pane","true"
"Botania","botania:bifrost_perm","botania:bifrost_perm","Bifrost Block","true"
"Botania","botania:black_buried_petals","botania:black_petal","Mystical Black Petal","true"
"Botania","botania:black_double_flower","botania:black_double_flower","Tall Mystical Black Flower","true"
"Botania","botania:black_floating_flower","botania:black_floating_flower","Floating Black Flower","true"
"Botania","botania:black_mushroom","botania:black_mushroom","Black Shimmering Mushroom","true"
"Botania","botania:black_mystical_flower","botania:black_mystical_flower","Mystical Black Flower","true"
"Botania","botania:black_pavement","botania:black_pavement","Black Portuguese Pavement","true"
"Botania","botania:black_pavement_slab","botania:black_pavement_slab","Black Portuguese Pavement Slab","true"
"Botania","botania:black_pavement_stairs","botania:black_pavement_stairs","Black Portuguese Pavement Stairs","true"
"Botania","botania:black_petal_block","botania:black_petal_block","Black Petal Block","true"
"Botania","botania:black_shiny_flower","botania:black_shiny_flower","Glimmering Black Flower","true"
"Botania","botania:blaze_block","botania:blaze_block","Blaze Mesh","true"
"Botania","botania:blaze_quartz","botania:blaze_quartz","Block of Blaze Quartz","true"
"Botania","botania:blaze_quartz_pillar","botania:blaze_quartz_pillar","Pillar Blaze Quartz Block","true"
"Botania","botania:blaze_quartz_slab","botania:blaze_quartz_slab","Blaze Quartz Slab","true"
"Botania","botania:blaze_quartz_stairs","botania:blaze_quartz_stairs","Blaze Quartz Stairs","true"
"Botania","botania:blue_buried_petals","botania:blue_petal","Mystical Blue Petal","true"
"Botania","botania:blue_double_flower","botania:blue_double_flower","Tall Mystical Blue Flower","true"
"Botania","botania:blue_floating_flower","botania:blue_floating_flower","Floating Blue Flower","true"
"Botania","botania:blue_mushroom","botania:blue_mushroom","Blue Shimmering Mushroom","true"
"Botania","botania:blue_mystical_flower","botania:blue_mystical_flower","Mystical Blue Flower","true"
"Botania","botania:blue_pavement","botania:blue_pavement","Blue Portuguese Pavement","true"
"Botania","botania:blue_pavement_slab","botania:blue_pavement_slab","Blue Portuguese Pavement Slab","true"
"Botania","botania:blue_pavement_stairs","botania:blue_pavement_stairs","Blue Portuguese Pavement Stairs","true"
"Botania","botania:blue_petal_block","botania:blue_petal_block","Blue Petal Block","true"
"Botania","botania:blue_shiny_flower","botania:blue_shiny_flower","Glimmering Blue Flower","true"
"Botania","botania:brewery","botania:brewery","Botanical Brewery","true"
"Botania","botania:brown_buried_petals","botania:brown_petal","Mystical Brown Petal","true"
"Botania","botania:brown_double_flower","botania:brown_double_flower","Tall Mystical Brown Flower","true"
"Botania","botania:brown_floating_flower","botania:brown_floating_flower","Floating Brown Flower","true"
"Botania","botania:brown_mushroom","botania:brown_mushroom","Brown Shimmering Mushroom","true"
"Botania","botania:brown_mystical_flower","botania:brown_mystical_flower","Mystical Brown Flower","true"
"Botania","botania:brown_petal_block","botania:brown_petal_block","Brown Petal Block","true"
"Botania","botania:brown_shiny_flower","botania:brown_shiny_flower","Glimmering Brown Flower","true"
"Botania","botania:bubbell","botania:bubbell","Bubbell","true"
"Botania","botania:bubbell_chibi","botania:bubbell_chibi","Bubbell Petite","true"
"Botania","botania:cacophonium_block","botania:cacophonium_block","Cacophonium Block","true"
"Botania","botania:cell_block","botania:cell_block","Cellular Block","true"
"Botania","botania:chiseled_blaze_quartz","botania:chiseled_blaze_quartz","Chiseled Blaze Quartz Block","true"
"Botania","botania:chiseled_dark_quartz","botania:chiseled_dark_quartz","Chiseled Smokey Quartz Block","true"
"Botania","botania:chiseled_elf_quartz","botania:chiseled_elf_quartz","Chiseled Elven Quartz Block","true"
"Botania","botania:chiseled_lavender_quartz","botania:chiseled_lavender_quartz","Chiseled Lavender Quartz Block","true"
"Botania","botania:chiseled_livingrock_bricks","botania:chiseled_livingrock_bricks","Chiseled Livingrock Brick","true"
"Botania","botania:chiseled_mana_quartz","botania:chiseled_mana_quartz","Chiseled Mana Quartz Block","true"
"Botania","botania:chiseled_metamorphic_desert_bricks","botania:chiseled_metamorphic_desert_bricks","Chiseled Metamorphic Desert Stone Brick","true"
"Botania","botania:chiseled_metamorphic_forest_bricks","botania:chiseled_metamorphic_forest_bricks","Chiseled Metamorphic Forest Stone Brick","true"
"Botania","botania:chiseled_metamorphic_fungal_bricks","botania:chiseled_metamorphic_fungal_bricks","Chiseled Metamorphic Fungal Stone Brick","true"
"Botania","botania:chiseled_metamorphic_mesa_bricks","botania:chiseled_metamorphic_mesa_bricks","Chiseled Metamorphic Mesa Stone Brick","true"
"Botania","botania:chiseled_metamorphic_mountain_bricks","botania:chiseled_metamorphic_mountain_bricks","Chiseled Metamorphic Mountain Stone Brick","true"
"Botania","botania:chiseled_metamorphic_plains_bricks","botania:chiseled_metamorphic_plains_bricks","Chiseled Metamorphic Plains Stone Brick","true"
"Botania","botania:chiseled_metamorphic_swamp_bricks","botania:chiseled_metamorphic_swamp_bricks","Chiseled Metamorphic Swamp Stone Brick","true"
"Botania","botania:chiseled_metamorphic_taiga_bricks","botania:chiseled_metamorphic_taiga_bricks","Chiseled Metamorphic Taiga Stone Brick","true"
"Botania","botania:chiseled_red_quartz","botania:chiseled_red_quartz","Chiseled Redquartz Block","true"
"Botania","botania:chiseled_sunny_quartz","botania:chiseled_sunny_quartz","Chiseled Sunny Quartz Block","true"
"Botania","botania:clayconia","botania:clayconia","Clayconia","true"
"Botania","botania:clayconia_chibi","botania:clayconia_chibi","Clayconia Petite","true"
"Botania","botania:cocoon","botania:cocoon","Cocoon of Caprice","true"
"Botania","botania:conjuration_catalyst","botania:conjuration_catalyst","Conjuration Catalyst","true"
"Botania","botania:corporea_block","botania:corporea_block","Corporea Block","true"
"Botania","botania:corporea_brick","botania:corporea_brick","Corporea Brick","true"
"Botania","botania:corporea_brick_slab","botania:corporea_brick_slab","Corporea Brick Slab","true"
"Botania","botania:corporea_brick_stairs","botania:corporea_brick_stairs","Corporea Brick Stairs","true"
"Botania","botania:corporea_brick_wall","botania:corporea_brick_wall","Corporea Brick Wall","true"
"Botania","botania:corporea_crystal_cube","botania:corporea_crystal_cube","Corporea Crystal Cube","true"
"Botania","botania:corporea_funnel","botania:corporea_funnel","Corporea Funnel","true"
"Botania","botania:corporea_index","botania:corporea_index","Corporea Index","true"
"Botania","botania:corporea_interceptor","botania:corporea_interceptor","Corporea Interceptor","true"
"Botania","botania:corporea_retainer","botania:corporea_retainer","Corporea Retainer","true"
"Botania","botania:corporea_slab","botania:corporea_slab","Corporea Slab","true"
"Botania","botania:corporea_stairs","botania:corporea_stairs","Corporea Stairs","true"
"Botania","botania:cracked_livingrock_bricks","botania:cracked_livingrock_bricks","Cracked Livingrock Brick","true"
"Botania","botania:crafty_crate","botania:crafty_crate","Crafty Crate","true"
"Botania","botania:creative_pool","botania:creative_pool","The Everlasting Guilty Pool","true"
"Botania","botania:cyan_buried_petals","botania:cyan_petal","Mystical Cyan Petal","true"
"Botania","botania:cyan_double_flower","botania:cyan_double_flower","Tall Mystical Cyan Flower","true"
"Botania","botania:cyan_floating_flower","botania:cyan_floating_flower","Floating Cyan Flower","true"
"Botania","botania:cyan_mushroom","botania:cyan_mushroom","Cyan Shimmering Mushroom","true"
"Botania","botania:cyan_mystical_flower","botania:cyan_mystical_flower","Mystical Cyan Flower","true"
"Botania","botania:cyan_petal_block","botania:cyan_petal_block","Cyan Petal Block","true"
"Botania","botania:cyan_shiny_flower","botania:cyan_shiny_flower","Glimmering Cyan Flower","true"
"Botania","botania:daffomill","botania:daffomill","Daffomill","true"
"Botania","botania:dandelifeon","botania:dandelifeon","Dandelifeon","true"
"Botania","botania:dark_quartz","botania:dark_quartz","Block of Smokey Quartz","true"
"Botania","botania:dark_quartz_pillar","botania:dark_quartz_pillar","Pillar Smokey Quartz Block","true"
"Botania","botania:dark_quartz_slab","botania:dark_quartz_slab","Smokey Quartz Slab","true"
"Botania","botania:dark_quartz_stairs","botania:dark_quartz_stairs","Smokey Quartz Stairs","true"
"Botania","botania:daybloom_motif","botania:daybloom_motif","Daybloom Motif","true"
"Botania","botania:detector_light_relay","botania:detector_light_relay","Detector Luminizer","true"
"Botania","botania:diluted_pool","botania:diluted_pool","Diluted Mana Pool","true"
"Botania","botania:dragonstone_block","botania:dragonstone_block","Block of Dragonstone","true"
"Botania","botania:dreadthorn","botania:dreadthorn","Dreadthorne","true"
"Botania","botania:dreamwood","botania:dreamwood","Dreamwood","true"
"Botania","botania:dreamwood_fence","botania:dreamwood_fence","Dreamwood Fence","true"
"Botania","botania:dreamwood_fence_gate","botania:dreamwood_fence_gate","Dreamwood Fence Gate","true"
"Botania","botania:dreamwood_planks","botania:dreamwood_planks","Dreamwood Planks","true"
"Botania","botania:dreamwood_planks_slab","botania:dreamwood_planks_slab","Dreamwood Plank Slab","true"
"Botania","botania:dreamwood_planks_stairs","botania:dreamwood_planks_stairs","Dreamwood Plank Stairs","true"
"Botania","botania:dreamwood_slab","botania:dreamwood_slab","Dreamwood Slab","true"
"Botania","botania:dreamwood_stairs","botania:dreamwood_stairs","Dreamwood Stairs","true"
"Botania","botania:dreamwood_wall","botania:dreamwood_wall","Dreamwood Wall","true"
"Botania","botania:drum_canopy","botania:drum_canopy","Drum of the Canopy","true"
"Botania","botania:drum_gathering","botania:drum_gathering","Drum of the Gathering","true"
"Botania","botania:drum_wild","botania:drum_wild","Drum of the Wild","true"
"Botania","botania:dry_grass","botania:dry_grass","Dry Grass","true"
"Botania","botania:elementium_block","botania:elementium_block","Block of Elementium","true"
"Botania","botania:elf_glass","botania:elf_glass","Alfglass","true"
"Botania","botania:elf_glass_pane","botania:elf_glass_pane","Alfglass Pane","true"
"Botania","botania:elf_quartz","botania:elf_quartz","Block of Elven Quartz","true"
"Botania","botania:elf_quartz_pillar","botania:elf_quartz_pillar","Pillar Elven Quartz Block","true"
"Botania","botania:elf_quartz_slab","botania:elf_quartz_slab","Elven Quartz Slab","true"
"Botania","botania:elf_quartz_stairs","botania:elf_quartz_stairs","Elven Quartz Stairs","true"
"Botania","botania:elven_spreader","botania:elven_spreader","Elven Mana Spreader","true"
"Botania","botania:enchanted_soil","botania:enchanted_soil","Enchanted Soil","true"
"Botania","botania:enchanter","botania:enchanter","Mana Enchanter","true"
"Botania","botania:ender_eye_block","botania:ender_eye_block","Ender Overseer","true"
"Botania","botania:endoflame","botania:endoflame","Endoflame","true"
"Botania","botania:entropinnyum","botania:entropinnyum","Entropinnyum","true"
"Botania","botania:exoflame","botania:exoflame","Exoflame","true"
"Botania","botania:fabulous_pool","botania:fabulous_pool","Fabulous Mana Pool","true"
"Botania","botania:fake_air","","block.botania.fake_air","true"
"Botania","botania:fallen_kanade","botania:fallen_kanade","Fallen Kanade","true"
"Botania","botania:fel_pumpkin","botania:fel_pumpkin","Fel Pumpkin","true"
"Botania","botania:floating_agricarnation","botania:floating_agricarnation","Floating Agricarnation","true"
"Botania","botania:floating_agricarnation_chibi","botania:floating_agricarnation_chibi","Floating Agricarnation Petite","true"
"Botania","botania:floating_bellethorn","botania:floating_bellethorn","Floating Bellethorne","true"
"Botania","botania:floating_bellethorn_chibi","botania:floating_bellethorn_chibi","Floating Bellethorne Petite","true"
"Botania","botania:floating_bergamute","botania:floating_bergamute","Floating Bergamute","true"
"Botania","botania:floating_bubbell","botania:floating_bubbell","Floating Bubbell","true"
"Botania","botania:floating_bubbell_chibi","botania:floating_bubbell_chibi","Floating Bubbell Petite","true"
"Botania","botania:floating_clayconia","botania:floating_clayconia","Floating Clayconia","true"
"Botania","botania:floating_clayconia_chibi","botania:floating_clayconia_chibi","Floating Clayconia Petite","true"
"Botania","botania:floating_daffomill","botania:floating_daffomill","Floating Daffomill","true"
"Botania","botania:floating_dandelifeon","botania:floating_dandelifeon","Floating Dandelifeon","true"
"Botania","botania:floating_dreadthorn","botania:floating_dreadthorn","Floating Dreadthorne","true"
"Botania","botania:floating_endoflame","botania:floating_endoflame","Floating Endoflame","true"
"Botania","botania:floating_entropinnyum","botania:floating_entropinnyum","Floating Entropinnyum","true"
"Botania","botania:floating_exoflame","botania:floating_exoflame","Floating Exoflame","true"
"Botania","botania:floating_fallen_kanade","botania:floating_fallen_kanade","Floating Fallen Kanade","true"
"Botania","botania:floating_gourmaryllis","botania:floating_gourmaryllis","Floating Gourmaryllis","true"
"Botania","botania:floating_heisei_dream","botania:floating_heisei_dream","Floating Heisei Dream","true"
"Botania","botania:floating_hopperhock","botania:floating_hopperhock","Floating Hopperhock","true"
"Botania","botania:floating_hopperhock_chibi","botania:floating_hopperhock_chibi","Floating Hopperhock Petite","true"
"Botania","botania:floating_hyacidus","botania:floating_hyacidus","Floating Hyacidus","true"
"Botania","botania:floating_hydroangeas","botania:floating_hydroangeas","Floating Hydroangeas","true"
"Botania","botania:floating_jaded_amaranthus","botania:floating_jaded_amaranthus","Floating Jaded Amaranthus","true"
"Botania","botania:floating_jiyuulia","botania:floating_jiyuulia","Floating Jiyuulia","true"
"Botania","botania:floating_kekimurus","botania:floating_kekimurus","Floating Kekimurus","true"
"Botania","botania:floating_labelia","botania:floating_labelia","block.botania.floating_labelia","true"
"Botania","botania:floating_loonium","botania:floating_loonium","Floating Loonium","true"
"Botania","botania:floating_manastar","botania:floating_manastar","Floating Manastar","true"
"Botania","botania:floating_marimorphosis","botania:floating_marimorphosis","Floating Marimorphosis","true"
"Botania","botania:floating_marimorphosis_chibi","botania:floating_marimorphosis_chibi","Floating Marimorphosis Petite","true"
"Botania","botania:floating_medumone","botania:floating_medumone","Floating Medumone","true"
"Botania","botania:floating_munchdew","botania:floating_munchdew","Floating Munchdew","true"
"Botania","botania:floating_narslimmus","botania:floating_narslimmus","Floating Narslimmus","true"
"Botania","botania:floating_orechid","botania:floating_orechid","Floating Orechid","true"
"Botania","botania:floating_orechid_ignem","botania:floating_orechid_ignem","Floating Orechid Ignem","true"
"Botania","botania:floating_pollidisiac","botania:floating_pollidisiac","Floating Pollidisiac","true"
"Botania","botania:floating_pure_daisy","botania:floating_pure_daisy","Floating Pure Daisy","true"
"Botania","botania:floating_rafflowsia","botania:floating_rafflowsia","Floating Rafflowsia","true"
"Botania","botania:floating_rannuncarpus","botania:floating_rannuncarpus","Floating Rannuncarpus","true"
"Botania","botania:floating_rannuncarpus_chibi","botania:floating_rannuncarpus_chibi","Floating Rannuncarpus Petite","true"
"Botania","botania:floating_rosa_arcana","botania:floating_rosa_arcana","Floating Rosa Arcana","true"
"Botania","botania:floating_shulk_me_not","botania:floating_shulk_me_not","Floating Shulk Me Not","true"
"Botania","botania:floating_solegnolia","botania:floating_solegnolia","Floating Solegnolia","true"
"Botania","botania:floating_solegnolia_chibi","botania:floating_solegnolia_chibi","Floating Solegnolia Petite","true"
"Botania","botania:floating_spectranthemum","botania:floating_spectranthemum","Floating Spectranthemum","true"
"Botania","botania:floating_spectrolus","botania:floating_spectrolus","Floating Spectrolus","true"
"Botania","botania:floating_tangleberrie","botania:floating_tangleberrie","Floating Tangleberrie","true"
"Botania","botania:floating_thermalily","botania:floating_thermalily","Floating Thermalily","true"
"Botania","botania:floating_tigerseye","botania:floating_tigerseye","Floating Tigerseye","true"
"Botania","botania:floating_vinculotus","botania:floating_vinculotus","Floating Vinculotus","true"
"Botania","botania:forest_eye","botania:forest_eye","Eye of the Ancients","true"
"Botania","botania:fork_light_relay","botania:fork_light_relay","Fork Luminizer","true"
"Botania","botania:framed_dreamwood","botania:framed_dreamwood","Framed Dreamwood","true"
"Botania","botania:framed_livingwood","botania:framed_livingwood","Framed Livingwood","true"
"Botania","botania:gaia_head","botania:gaia_head","Gaia Guardian's Head","true"
"Botania","botania:gaia_pylon","botania:gaia_pylon","Gaia Pylon","true"
"Botania","botania:gaia_spreader","botania:gaia_spreader","Gaia Mana Spreader","true"
"Botania","botania:gaia_wall_head","botania:gaia_head","Gaia Guardian's Head","true"
"Botania","botania:ghost_rail","botania:ghost_rail","Spectral Rail","true"
"Botania","botania:glimmering_dreamwood","botania:glimmering_dreamwood","Glimmering Dreamwood","true"
"Botania","botania:glimmering_livingwood","botania:glimmering_livingwood","Glimmering Livingwood","true"
"Botania","botania:golden_grass","botania:golden_grass","Golden Grass","true"
"Botania","botania:gourmaryllis","botania:gourmaryllis","Gourmaryllis","true"
"Botania","botania:gray_buried_petals","botania:gray_petal","Mystical Gray Petal","true"
"Botania","botania:gray_double_flower","botania:gray_double_flower","Tall Mystical Gray Flower","true"
"Botania","botania:gray_floating_flower","botania:gray_floating_flower","Floating Gray Flower","true"
"Botania","botania:gray_mushroom","botania:gray_mushroom","Gray Shimmering Mushroom","true"
"Botania","botania:gray_mystical_flower","botania:gray_mystical_flower","Mystical Gray Flower","true"
"Botania","botania:gray_petal_block","botania:gray_petal_block","Gray Petal Block","true"
"Botania","botania:gray_shiny_flower","botania:gray_shiny_flower","Glimmering Gray Flower","true"
"Botania","botania:green_buried_petals","botania:green_petal","Mystical Green Petal","true"
"Botania","botania:green_double_flower","botania:green_double_flower","Tall Mystical Green Flower","true"
"Botania","botania:green_floating_flower","botania:green_floating_flower","Floating Green Flower","true"
"Botania","botania:green_mushroom","botania:green_mushroom","Green Shimmering Mushroom","true"
"Botania","botania:green_mystical_flower","botania:green_mystical_flower","Mystical Green Flower","true"
"Botania","botania:green_pavement","botania:green_pavement","Green Portuguese Pavement","true"
"Botania","botania:green_pavement_slab","botania:green_pavement_slab","Green Portuguese Pavement Slab","true"
