"ID","Tagged objects"
"botania:mini_flowers","botania:agricarnation_chibi, botania:bellethorn_chibi, botania:bubbell_chibi, botania:clayconia_chibi, botania:hopperhock_chibi, botania:marimorphosis_chibi, botania:rannuncarpus_chibi, botania:solegnolia_chibi"
"botania:misc_special_flowers","botania:manastar, botania:pure_daisy, botania:bergamute"
"botania:mundane_floating_flowers","botania:black_floating_flower, botania:blue_floating_flower, botania:brown_floating_flower, botania:cyan_floating_flower, botania:gray_floating_flower, botania:green_floating_flower, botania:light_blue_floating_flower, botania:light_gray_floating_flower, botania:lime_floating_flower, botania:magenta_floating_flower, botania:orange_floating_flower, botania:pink_floating_flower, botania:purple_floating_flower, botania:red_floating_flower, botania:white_floating_flower, botania:yellow_floating_flower"
"botania:mystical_flowers","botania:black_mystical_flower, botania:blue_mystical_flower, botania:brown_mystical_flower, botania:cyan_mystical_flower, botania:gray_mystical_flower, botania:green_mystical_flower, botania:light_blue_mystical_flower, botania:light_gray_mystical_flower, botania:lime_mystical_flower, botania:magenta_mystical_flower, botania:orange_mystical_flower, botania:pink_mystical_flower, botania:purple_mystical_flower, botania:red_mystical_flower, botania:white_mystical_flower, botania:yellow_mystical_flower"
"botania:shiny_flowers","botania:black_shiny_flower, botania:blue_shiny_flower, botania:brown_shiny_flower, botania:cyan_shiny_flower, botania:gray_shiny_flower, botania:green_shiny_flower, botania:light_blue_shiny_flower, botania:light_gray_shiny_flower, botania:lime_shiny_flower, botania:magenta_shiny_flower, botania:orange_shiny_flower, botania:pink_shiny_flower, botania:purple_shiny_flower, botania:red_shiny_flower, botania:white_shiny_flower, botania:yellow_shiny_flower"
"botania:special_floating_flowers","botania:floating_agricarnation, botania:floating_agricarnation_chibi, botania:floating_bellethorn, botania:floating_bellethorn_chibi, botania:floating_bergamute, botania:floating_bubbell, botania:floating_bubbell_chibi, botania:floating_clayconia, botania:floating_clayconia_chibi, botania:floating_daffomill, botania:floating_dandelifeon, botania:floating_dreadthorn, botania:floating_endoflame, botania:floating_entropinnyum, botania:floating_exoflame, botania:floating_fallen_kanade, botania:floating_gourmaryllis, botania:floating_heisei_dream, botania:floating_hopperhock, botania:floating_hopperhock_chibi, botania:floating_hyacidus, botania:floating_hydroangeas, botania:floating_jaded_amaranthus, botania:floating_jiyuulia, botania:floating_kekimurus, botania:floating_labellia, botania:floating_loonium, botania:floating_manastar, botania:floating_marimorphosis, botania:floating_marimorphosis_chibi, botania:floating_medumone, botania:floating_munchdew, botania:floating_narslimmus, botania:floating_orechid, botania:floating_orechid_ignem, botania:floating_pollidisiac, botania:floating_pure_daisy, botania:floating_rafflowsia, botania:floating_rannuncarpus, botania:floating_rannuncarpus_chibi, botania:floating_rosa_arcana, botania:floating_shulk_me_not, botania:floating_solegnolia, botania:floating_solegnolia_chibi, botania:floating_spectranthemum, botania:floating_spectrolus, botania:floating_tangleberrie, botania:floating_thermalily, botania:floating_tigerseye, botania:floating_vinculotus"
"botania:special_flowers","botania:manastar, botania:pure_daisy, botania:bergamute, botania:dandelifeon, botania:endoflame, botania:entropinnyum, botania:gourmaryllis, botania:hydroangeas, botania:kekimurus, botania:munchdew, botania:narslimmus, botania:rafflowsia, botania:rosa_arcana, botania:shulk_me_not, botania:spectrolus, botania:thermalily, excompressum:evolved_orechid, botania:agricarnation, botania:agricarnation_chibi, botania:bellethorn, botania:bellethorn_chibi, botania:bubbell, botania:bubbell_chibi, botania:clayconia, botania:clayconia_chibi, botania:daffomill, botania:dreadthorn, botania:exoflame, botania:fallen_kanade, botania:heisei_dream, botania:hopperhock, botania:hopperhock_chibi, botania:hyacidus, botania:jaded_amaranthus, botania:jiyuulia, botania:labellia, botania:loonium, botania:marimorphosis, botania:marimorphosis_chibi, botania:medumone, botania:orechid, botania:orechid_ignem, botania:pollidisiac, botania:rannuncarpus, botania:rannuncarpus_chibi, botania:solegnolia, botania:solegnolia_chibi, botania:spectranthemum, botania:tangleberrie, botania:tigerseye, botania:vinculotus"
"botania:terra_plate_base","botania:livingrock, botania:shimmerrock"
"botania:terraformable","minecraft:andesite, minecraft:diorite, minecraft:granite, minecraft:infested_stone, minecraft:stone, minecraft:polished_andesite, minecraft:polished_diorite, minecraft:polished_granite, quark:basalt, quark:brimstone, quark:jasper, quark:limestone, quark:marble, quark:permafrost, quark:slate, quark:myalite, quark:polished_basalt, quark:polished_jasper, quark:polished_limestone, quark:polished_marble, quark:polished_slate, quark:polished_myalite, minecraft:dirt, minecraft:grass_block, minecraft:coarse_dirt, minecraft:podzol, minecraft:mycelium, botania:dry_grass, botania:golden_grass, botania:infused_grass, botania:mutated_grass, botania:scorched_grass, botania:vivid_grass, minecraft:sand, minecraft:red_sand, minecraft:gravel, minecraft:snow"
"ceramics:cistern_connections","tconstruct:seared_faucet, tconstruct:scorched_faucet"
"chisel:andesite","chisel:andesite/cracked, chisel:andesite/solid_bricks, chisel:andesite/small_bricks, chisel:andesite/soft_bricks, chisel:andesite/cracked_bricks, chisel:andesite/triple_bricks, chisel:andesite/encased_bricks, chisel:andesite/chaotic_bricks, chisel:andesite/array, chisel:andesite/tiles_medium, chisel:andesite/tiles_large, chisel:andesite/tiles_small, chisel:andesite/chaotic_medium, chisel:andesite/chaotic_small, chisel:andesite/braid, chisel:andesite/dent, chisel:andesite/french_1, chisel:andesite/french_2, chisel:andesite/jellybean, chisel:andesite/layers, chisel:andesite/mosaic, chisel:andesite/ornate, chisel:andesite/panel, chisel:andesite/road, chisel:andesite/slanted, chisel:andesite/zag, chisel:andesite/circular, chisel:andesite/circularct, chisel:andesite/weaver, chisel:andesite/pillar, chisel:andesite/twisted, chisel:andesite/prism, chisel:andesite/cuts, minecraft:andesite, minecraft:polished_andesite"
"chisel:antiblock","chisel:antiblock/white, chisel:antiblock/orange, chisel:antiblock/magenta, chisel:antiblock/light_blue, chisel:antiblock/yellow, chisel:antiblock/lime, chisel:antiblock/pink, chisel:antiblock/gray, chisel:antiblock/light_gray, chisel:antiblock/cyan, chisel:antiblock/purple, chisel:antiblock/blue, chisel:antiblock/brown, chisel:antiblock/green, chisel:antiblock/red, chisel:antiblock/black"
"chisel:basalt","chisel:basalt/raw, chisel:basalt/cracked, chisel:basalt/solid_bricks, chisel:basalt/small_bricks, chisel:basalt/soft_bricks, chisel:basalt/cracked_bricks, chisel:basalt/triple_bricks, chisel:basalt/encased_bricks, chisel:basalt/chaotic_bricks, chisel:basalt/array, chisel:basalt/tiles_medium, chisel:basalt/tiles_large, chisel:basalt/tiles_small, chisel:basalt/chaotic_medium, chisel:basalt/chaotic_small, chisel:basalt/braid, chisel:basalt/dent, chisel:basalt/french_1, chisel:basalt/french_2, chisel:basalt/jellybean, chisel:basalt/layers, chisel:basalt/mosaic, chisel:basalt/ornate, chisel:basalt/panel, chisel:basalt/road, chisel:basalt/slanted, chisel:basalt/zag, chisel:basalt/circular, chisel:basalt/circularct, chisel:basalt/weaver, chisel:basalt/pillar, chisel:basalt/twisted, chisel:basalt/prism, chisel:basalt/cuts"
"chisel:bricks","chisel:bricks/cracked, chisel:bricks/solid_bricks, chisel:bricks/small_bricks, chisel:bricks/soft_bricks, chisel:bricks/cracked_bricks, chisel:bricks/triple_bricks, chisel:bricks/encased_bricks, chisel:bricks/chaotic_bricks, chisel:bricks/array, chisel:bricks/tiles_medium, chisel:bricks/tiles_large, chisel:bricks/tiles_small, chisel:bricks/chaotic_medium, chisel:bricks/chaotic_small, chisel:bricks/braid, chisel:bricks/dent, chisel:bricks/french_1, chisel:bricks/french_2, chisel:bricks/jellybean, chisel:bricks/layers, chisel:bricks/mosaic, chisel:bricks/ornate, chisel:bricks/panel, chisel:bricks/road, chisel:bricks/slanted, chisel:bricks/zag, chisel:bricks/circular, chisel:bricks/circularct, chisel:bricks/weaver, chisel:bricks/pillar, chisel:bricks/twisted, chisel:bricks/prism, chisel:bricks/cuts, minecraft:bricks"
"chisel:carpet/black","chisel:carpet/black/legacy, chisel:carpet/black/llama, minecraft:black_carpet"
"chisel:carpet/blue","chisel:carpet/blue/legacy, chisel:carpet/blue/llama, minecraft:blue_carpet"
"chisel:carpet/brown","chisel:carpet/brown/legacy, chisel:carpet/brown/llama, minecraft:brown_carpet"
"chisel:carpet/cyan","chisel:carpet/cyan/legacy, chisel:carpet/cyan/llama, minecraft:cyan_carpet"
"chisel:carpet/gray","chisel:carpet/gray/legacy, chisel:carpet/gray/llama, minecraft:gray_carpet"
"chisel:carpet/green","chisel:carpet/green/legacy, chisel:carpet/green/llama, minecraft:green_carpet"
"chisel:carpet/light_blue","chisel:carpet/light_blue/legacy, chisel:carpet/light_blue/llama, minecraft:light_blue_carpet"
"chisel:carpet/light_gray","chisel:carpet/light_gray/legacy, chisel:carpet/light_gray/llama, minecraft:light_gray_carpet"
"chisel:carpet/lime","chisel:carpet/lime/legacy, chisel:carpet/lime/llama, minecraft:lime_carpet"
"chisel:carpet/magenta","chisel:carpet/magenta/legacy, chisel:carpet/magenta/llama, minecraft:magenta_carpet"
"chisel:carpet/orange","chisel:carpet/orange/legacy, chisel:carpet/orange/llama, minecraft:orange_carpet"
"chisel:carpet/pink","chisel:carpet/pink/legacy, chisel:carpet/pink/llama, minecraft:pink_carpet"
"chisel:carpet/purple","chisel:carpet/purple/legacy, chisel:carpet/purple/llama, minecraft:purple_carpet"
"chisel:carpet/red","chisel:carpet/red/legacy, chisel:carpet/red/llama, minecraft:red_carpet"
"chisel:carpet/white","chisel:carpet/white/legacy, chisel:carpet/white/llama, minecraft:white_carpet"
"chisel:carpet/yellow","chisel:carpet/yellow/legacy, chisel:carpet/yellow/llama, minecraft:yellow_carpet"
"chisel:charcoal","chisel:charcoal/raw, chisel:charcoal/cracked, chisel:charcoal/solid_bricks, chisel:charcoal/small_bricks, chisel:charcoal/soft_bricks, chisel:charcoal/cracked_bricks, chisel:charcoal/triple_bricks, chisel:charcoal/encased_bricks, chisel:charcoal/chaotic_bricks, chisel:charcoal/array, chisel:charcoal/tiles_medium, chisel:charcoal/tiles_large, chisel:charcoal/tiles_small, chisel:charcoal/chaotic_medium, chisel:charcoal/chaotic_small, chisel:charcoal/braid, chisel:charcoal/dent, chisel:charcoal/french_1, chisel:charcoal/french_2, chisel:charcoal/jellybean, chisel:charcoal/layers, chisel:charcoal/mosaic, chisel:charcoal/ornate, chisel:charcoal/panel, chisel:charcoal/road, chisel:charcoal/slanted, chisel:charcoal/zag, chisel:charcoal/circular, chisel:charcoal/circularct, chisel:charcoal/weaver, chisel:charcoal/pillar, chisel:charcoal/twisted, chisel:charcoal/prism, chisel:charcoal/cuts"
"chisel:coal","chisel:coal/cracked, chisel:coal/solid_bricks, chisel:coal/small_bricks, chisel:coal/soft_bricks, chisel:coal/cracked_bricks, chisel:coal/triple_bricks, chisel:coal/encased_bricks, chisel:coal/chaotic_bricks, chisel:coal/array, chisel:coal/tiles_medium, chisel:coal/tiles_large, chisel:coal/tiles_small, chisel:coal/chaotic_medium, chisel:coal/chaotic_small, chisel:coal/braid, chisel:coal/dent, chisel:coal/french_1, chisel:coal/french_2, chisel:coal/jellybean, chisel:coal/layers, chisel:coal/mosaic, chisel:coal/ornate, chisel:coal/panel, chisel:coal/road, chisel:coal/slanted, chisel:coal/zag, chisel:coal/circular, chisel:coal/circularct, chisel:coal/weaver, chisel:coal/pillar, chisel:coal/twisted, chisel:coal/prism, chisel:coal/cuts"
"chisel:cobblestone","chisel:cobblestone/cracked, chisel:cobblestone/solid_bricks, chisel:cobblestone/small_bricks, chisel:cobblestone/soft_bricks, chisel:cobblestone/cracked_bricks, chisel:cobblestone/triple_bricks, chisel:cobblestone/encased_bricks, chisel:cobblestone/chaotic_bricks, chisel:cobblestone/array, chisel:cobblestone/tiles_medium, chisel:cobblestone/tiles_large, chisel:cobblestone/tiles_small, chisel:cobblestone/chaotic_medium, chisel:cobblestone/chaotic_small, chisel:cobblestone/braid, chisel:cobblestone/dent, chisel:cobblestone/french_1, chisel:cobblestone/french_2, chisel:cobblestone/jellybean, chisel:cobblestone/layers, chisel:cobblestone/mosaic, chisel:cobblestone/ornate, chisel:cobblestone/panel, chisel:cobblestone/road, chisel:cobblestone/slanted, chisel:cobblestone/zag, chisel:cobblestone/circular, chisel:cobblestone/circularct, chisel:cobblestone/weaver, chisel:cobblestone/pillar, chisel:cobblestone/twisted, chisel:cobblestone/prism, chisel:cobblestone/cuts, chisel:cobblestone/extra/emboss, chisel:cobblestone/extra/indent, chisel:cobblestone/extra/marker, minecraft:cobblestone"
"chisel:concrete/black","chisel:concrete/black/cracked, chisel:concrete/black/solid_bricks, chisel:concrete/black/small_bricks, chisel:concrete/black/soft_bricks, chisel:concrete/black/cracked_bricks, chisel:concrete/black/triple_bricks, chisel:concrete/black/encased_bricks, chisel:concrete/black/chaotic_bricks, chisel:concrete/black/array, chisel:concrete/black/tiles_medium, chisel:concrete/black/tiles_large, chisel:concrete/black/tiles_small, chisel:concrete/black/chaotic_medium, chisel:concrete/black/chaotic_small, chisel:concrete/black/braid, chisel:concrete/black/dent, chisel:concrete/black/french_1, chisel:concrete/black/french_2, chisel:concrete/black/jellybean, chisel:concrete/black/layers, chisel:concrete/black/mosaic, chisel:concrete/black/ornate, chisel:concrete/black/panel, chisel:concrete/black/road, chisel:concrete/black/slanted, chisel:concrete/black/zag, chisel:concrete/black/circular, chisel:concrete/black/circularct, chisel:concrete/black/weaver, chisel:concrete/black/pillar, chisel:concrete/black/twisted, chisel:concrete/black/prism, chisel:concrete/black/cuts, minecraft:black_concrete"
"chisel:concrete/blue","chisel:concrete/blue/cracked, chisel:concrete/blue/solid_bricks, chisel:concrete/blue/small_bricks, chisel:concrete/blue/soft_bricks, chisel:concrete/blue/cracked_bricks, chisel:concrete/blue/triple_bricks, chisel:concrete/blue/encased_bricks, chisel:concrete/blue/chaotic_bricks, chisel:concrete/blue/array, chisel:concrete/blue/tiles_medium, chisel:concrete/blue/tiles_large, chisel:concrete/blue/tiles_small, chisel:concrete/blue/chaotic_medium, chisel:concrete/blue/chaotic_small, chisel:concrete/blue/braid, chisel:concrete/blue/dent, chisel:concrete/blue/french_1, chisel:concrete/blue/french_2, chisel:concrete/blue/jellybean, chisel:concrete/blue/layers, chisel:concrete/blue/mosaic, chisel:concrete/blue/ornate, chisel:concrete/blue/panel, chisel:concrete/blue/road, chisel:concrete/blue/slanted, chisel:concrete/blue/zag, chisel:concrete/blue/circular, chisel:concrete/blue/circularct, chisel:concrete/blue/weaver, chisel:concrete/blue/pillar, chisel:concrete/blue/twisted, chisel:concrete/blue/prism, chisel:concrete/blue/cuts, minecraft:blue_concrete"
"chisel:concrete/brown","chisel:concrete/brown/cracked, chisel:concrete/brown/solid_bricks, chisel:concrete/brown/small_bricks, chisel:concrete/brown/soft_bricks, chisel:concrete/brown/cracked_bricks, chisel:concrete/brown/triple_bricks, chisel:concrete/brown/encased_bricks, chisel:concrete/brown/chaotic_bricks, chisel:concrete/brown/array, chisel:concrete/brown/tiles_medium, chisel:concrete/brown/tiles_large, chisel:concrete/brown/tiles_small, chisel:concrete/brown/chaotic_medium, chisel:concrete/brown/chaotic_small, chisel:concrete/brown/braid, chisel:concrete/brown/dent, chisel:concrete/brown/french_1, chisel:concrete/brown/french_2, chisel:concrete/brown/jellybean, chisel:concrete/brown/layers, chisel:concrete/brown/mosaic, chisel:concrete/brown/ornate, chisel:concrete/brown/panel, chisel:concrete/brown/road, chisel:concrete/brown/slanted, chisel:concrete/brown/zag, chisel:concrete/brown/circular, chisel:concrete/brown/circularct, chisel:concrete/brown/weaver, chisel:concrete/brown/pillar, chisel:concrete/brown/twisted, chisel:concrete/brown/prism, chisel:concrete/brown/cuts, minecraft:brown_concrete"
"chisel:concrete/cyan","chisel:concrete/cyan/cracked, chisel:concrete/cyan/solid_bricks, chisel:concrete/cyan/small_bricks, chisel:concrete/cyan/soft_bricks, chisel:concrete/cyan/cracked_bricks, chisel:concrete/cyan/triple_bricks, chisel:concrete/cyan/encased_bricks, chisel:concrete/cyan/chaotic_bricks, chisel:concrete/cyan/array, chisel:concrete/cyan/tiles_medium, chisel:concrete/cyan/tiles_large, chisel:concrete/cyan/tiles_small, chisel:concrete/cyan/chaotic_medium, chisel:concrete/cyan/chaotic_small, chisel:concrete/cyan/braid, chisel:concrete/cyan/dent, chisel:concrete/cyan/french_1, chisel:concrete/cyan/french_2, chisel:concrete/cyan/jellybean, chisel:concrete/cyan/layers, chisel:concrete/cyan/mosaic, chisel:concrete/cyan/ornate, chisel:concrete/cyan/panel, chisel:concrete/cyan/road, chisel:concrete/cyan/slanted, chisel:concrete/cyan/zag, chisel:concrete/cyan/circular, chisel:concrete/cyan/circularct, chisel:concrete/cyan/weaver, chisel:concrete/cyan/pillar, chisel:concrete/cyan/twisted, chisel:concrete/cyan/prism, chisel:concrete/cyan/cuts, minecraft:cyan_concrete"
"chisel:concrete/gray","chisel:concrete/gray/cracked, chisel:concrete/gray/solid_bricks, chisel:concrete/gray/small_bricks, chisel:concrete/gray/soft_bricks, chisel:concrete/gray/cracked_bricks, chisel:concrete/gray/triple_bricks, chisel:concrete/gray/encased_bricks, chisel:concrete/gray/chaotic_bricks, chisel:concrete/gray/array, chisel:concrete/gray/tiles_medium, chisel:concrete/gray/tiles_large, chisel:concrete/gray/tiles_small, chisel:concrete/gray/chaotic_medium, chisel:concrete/gray/chaotic_small, chisel:concrete/gray/braid, chisel:concrete/gray/dent, chisel:concrete/gray/french_1, chisel:concrete/gray/french_2, chisel:concrete/gray/jellybean, chisel:concrete/gray/layers, chisel:concrete/gray/mosaic, chisel:concrete/gray/ornate, chisel:concrete/gray/panel, chisel:concrete/gray/road, chisel:concrete/gray/slanted, chisel:concrete/gray/zag, chisel:concrete/gray/circular, chisel:concrete/gray/circularct, chisel:concrete/gray/weaver, chisel:concrete/gray/pillar, chisel:concrete/gray/twisted, chisel:concrete/gray/prism, chisel:concrete/gray/cuts, minecraft:gray_concrete"
"chisel:concrete/green","chisel:concrete/green/cracked, chisel:concrete/green/solid_bricks, chisel:concrete/green/small_bricks, chisel:concrete/green/soft_bricks, chisel:concrete/green/cracked_bricks, chisel:concrete/green/triple_bricks, chisel:concrete/green/encased_bricks, chisel:concrete/green/chaotic_bricks, chisel:concrete/green/array, chisel:concrete/green/tiles_medium, chisel:concrete/green/tiles_large, chisel:concrete/green/tiles_small, chisel:concrete/green/chaotic_medium, chisel:concrete/green/chaotic_small, chisel:concrete/green/braid, chisel:concrete/green/dent, chisel:concrete/green/french_1, chisel:concrete/green/french_2, chisel:concrete/green/jellybean, chisel:concrete/green/layers, chisel:concrete/green/mosaic, chisel:concrete/green/ornate, chisel:concrete/green/panel, chisel:concrete/green/road, chisel:concrete/green/slanted, chisel:concrete/green/zag, chisel:concrete/green/circular, chisel:concrete/green/circularct, chisel:concrete/green/weaver, chisel:concrete/green/pillar, chisel:concrete/green/twisted, chisel:concrete/green/prism, chisel:concrete/green/cuts, minecraft:green_concrete"
"chisel:concrete/light_blue","chisel:concrete/light_blue/cracked, chisel:concrete/light_blue/solid_bricks, chisel:concrete/light_blue/small_bricks, chisel:concrete/light_blue/soft_bricks, chisel:concrete/light_blue/cracked_bricks, chisel:concrete/light_blue/triple_bricks, chisel:concrete/light_blue/encased_bricks, chisel:concrete/light_blue/chaotic_bricks, chisel:concrete/light_blue/array, chisel:concrete/light_blue/tiles_medium, chisel:concrete/light_blue/tiles_large, chisel:concrete/light_blue/tiles_small, chisel:concrete/light_blue/chaotic_medium, chisel:concrete/light_blue/chaotic_small, chisel:concrete/light_blue/braid, chisel:concrete/light_blue/dent, chisel:concrete/light_blue/french_1, chisel:concrete/light_blue/french_2, chisel:concrete/light_blue/jellybean, chisel:concrete/light_blue/layers, chisel:concrete/light_blue/mosaic, chisel:concrete/light_blue/ornate, chisel:concrete/light_blue/panel, chisel:concrete/light_blue/road, chisel:concrete/light_blue/slanted, chisel:concrete/light_blue/zag, chisel:concrete/light_blue/circular, chisel:concrete/light_blue/circularct, chisel:concrete/light_blue/weaver, chisel:concrete/light_blue/pillar, chisel:concrete/light_blue/twisted, chisel:concrete/light_blue/prism, chisel:concrete/light_blue/cuts, minecraft:light_blue_concrete"
